"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\account.py", "Python", 96, 0, 0, 0, 26, 122
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\application.py", "Python", 83, 0, 0, 0, 26, 109
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\board.py", "Python", 199, 0, 0, 2, 63, 264
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\board_actions.py", "Python", 56, 0, 0, 0, 27, 83
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\database.py", "Python", 253, 0, 0, 6, 44, 303
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\difficulty_settings.py", "Python", 39, 0, 0, 4, 14, 57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\dlx.py", "Python", 75, 0, 0, 4, 13, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\game.py", "Python", 230, 0, 0, 2, 53, 285
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\game_generator.py", "Python", 27, 0, 0, 0, 9, 36
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\generator.py", "Python", 63, 0, 0, 7, 22, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\gui.py", "Python", 960, 0, 0, 1, 280, 1241
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\hex_to_dec.py", "Python", 8, 0, 0, 0, 2, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\options.json", "JSON", 0, 0, 3, 0, 0, 3
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\pyqt_widgets.py", "Python", 291, 0, 0, 5, 71, 367
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\rating_calc.py", "Python", 147, 0, 0, 4, 15, 166
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\account.svg", "XML", 0, 8, 0, 0, 1, 9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\auto_note.svg", "XML", 0, 130, 0, 0, 1, 131
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\back.svg", "XML", 0, 128, 0, 0, 1, 129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\delete.svg", "XML", 0, 180, 0, 0, 1, 181
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\exit.svg", "XML", 0, 13, 0, 0, 1, 14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\help.svg", "XML", 0, 145, 0, 0, 1, 146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\hint.svg", "XML", 0, 90, 0, 0, 1, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\info.svg", "XML", 0, 72, 0, 0, 1, 73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\notes_off.svg", "XML", 0, 91, 0, 0, 1, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\notes_on.svg", "XML", 0, 63, 0, 0, 1, 64
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\resign.svg", "XML", 0, 65, 0, 0, 1, 66
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\settings.svg", "XML", 0, 11, 0, 0, 1, 12
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\stats.svg", "XML", 0, 20, 0, 0, 1, 21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\resources\undo.svg", "XML", 0, 110, 0, 0, 1, 111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\solver.py", "Python", 57, 0, 0, 1, 17, 75
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\stack.py", "Python", 17, 0, 0, 0, 4, 21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\sudoku.py", "Python", 23, 0, 0, 0, 8, 31
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\terminal.py", "Python", 172, 0, 0, 0, 22, 194
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7a\ui.py", "Python", 16, 0, 0, 0, 7, 23
"Total", "-", 2812, 1126, 3, 36, 737, 4714
