"filename", "language", "Python", "JSON", "XML", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\account.py", "Python", 96, 0, 0, 0, 26, 122
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\application.py", "Python", 93, 0, 0, 0, 28, 121
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board.py", "Python", 179, 0, 0, 2, 62, 243
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board_actions.py", "Python", 56, 0, 0, 0, 27, 83
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\data_structures.py", "Python", 30, 0, 0, 0, 10, 40
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\database.py", "Python", 240, 0, 0, 6, 46, 292
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\difficulty_settings.py", "Python", 39, 0, 0, 4, 14, 57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\dlx.py", "Python", 77, 0, 0, 1, 13, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\game.py", "Python", 231, 0, 0, 2, 53, 286
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\game_generator.py", "Python", 27, 0, 0, 0, 9, 36
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_03-01-24_09-24-02.json", "JSON", 0, 17, 0, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_04-01-24_08-32-49.json", "JSON", 0, 17, 0, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_04-01-24_08-33-54.json", "JSON", 0, 17, 0, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_04-01-24_08-34-24.json", "JSON", 0, 17, 0, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\generator.py", "Python", 67, 0, 0, 3, 21, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\group_colouring.py", "Python", 45, 0, 0, 3, 9, 57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\gui.py", "Python", 1039, 0, 0, 1, 299, 1339
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\hex_to_dec.py", "Python", 8, 0, 0, 0, 2, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\options.json", "JSON", 0, 3, 0, 0, 0, 3
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\pyqt_widgets.py", "Python", 292, 0, 0, 5, 71, 368
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\rating_calc.py", "Python", 147, 0, 0, 4, 15, 166
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\account.svg", "XML", 0, 0, 8, 0, 1, 9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\auto_note.svg", "XML", 0, 0, 130, 0, 1, 131
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\back.svg", "XML", 0, 0, 128, 0, 1, 129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\delete.svg", "XML", 0, 0, 180, 0, 1, 181
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\exit.svg", "XML", 0, 0, 13, 0, 1, 14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\help.svg", "XML", 0, 0, 145, 0, 1, 146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\hint.svg", "XML", 0, 0, 90, 0, 1, 91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\info.svg", "XML", 0, 0, 72, 0, 1, 73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\notes_off.svg", "XML", 0, 0, 91, 0, 1, 92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\notes_on.svg", "XML", 0, 0, 63, 0, 1, 64
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\resign.svg", "XML", 0, 0, 65, 0, 1, 66
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\settings.svg", "XML", 0, 0, 11, 0, 1, 12
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\stats.svg", "XML", 0, 0, 20, 0, 1, 21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\undo.svg", "XML", 0, 0, 110, 0, 1, 111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\solver.py", "Python", 57, 0, 0, 0, 18, 75
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\sudoku.py", "Python", 23, 0, 0, 0, 8, 31
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\terminal.py", "Python", 230, 0, 0, 0, 25, 255
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\ui.py", "Python", 18, 0, 0, 0, 7, 25
"Total", "-", 2994, 71, 1126, 31, 777, 4999
