"filename", "language", "Python", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\account.py", "Python", 5, 0, 2, 3, 10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\application.py", "Python", 11, 0, 0, 3, 14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board.py", "Python", -7, 0, 0, -2, -9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board_actions.py", "Python", 0, 0, 0, 1, 1
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\database.py", "Python", 0, 0, 2, 0, 2
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\difficulty_settings.py", "Python", -2, 0, 2, 0, 0
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\game_generator.py", "Python", -27, 0, 0, -9, -36
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_03-01-24_09-24-02.json", "JSON", 0, -17, 0, 0, -17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_04-01-24_08-32-49.json", "JSON", 0, -17, 0, 0, -17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_04-01-24_08-33-54.json", "JSON", 0, -17, 0, 0, -17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\admin\singleplayer_04-01-24_08-34-24.json", "JSON", 0, -17, 0, 0, -17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\beta\sudoku_12-01-24_11-10-13.json", "JSON", 0, 17, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\beta\sudoku_12-01-24_11-22-18.json", "JSON", 0, 17, 0, 0, 17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\gui.py", "Python", -28, 0, 123, 3, 98
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\pyqt_widgets.py", "Python", -1, 0, 33, 0, 32
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\rating_calc.py", "Python", -47, 0, 6, -1, -42
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\terminal.py", "Python", 50, 0, 7, 2, 59
"Total", "-", -46, -34, 175, 0, 95
