"filename", "language", "Python", "XML", "JSON", "comment", "blank", "total"
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\account.py", "Python", -101, 0, 0, -2, -29, -132
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\application.py", "Python", -104, 0, 0, 0, -31, -135
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board.py", "Python", -172, 0, 0, -2, -60, -234
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board_actions.py", "Python", -56, 0, 0, 0, -28, -84
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\data_structures.py", "Python", -30, 0, 0, 0, -10, -40
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\database.py", "Python", -240, 0, 0, -8, -46, -294
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\difficulty_settings.py", "Python", -37, 0, 0, -6, -14, -57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\dlx.py", "Python", -77, 0, 0, -1, -13, -91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\game.py", "Python", -231, 0, 0, -2, -53, -286
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\beta\sudoku_12-01-24_11-10-13.json", "JSON", 0, 0, -17, 0, 0, -17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\games\beta\sudoku_12-01-24_11-22-18.json", "JSON", 0, 0, -17, 0, 0, -17
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\generator.py", "Python", -67, 0, 0, -3, -21, -91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\group_colouring.py", "Python", -45, 0, 0, -3, -9, -57
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\gui.py", "Python", -1011, 0, 0, -124, -302, -1437
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\hex_to_dec.py", "Python", -8, 0, 0, 0, -2, -10
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\options.json", "JSON", 0, 0, -3, 0, 0, -3
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\pyqt_widgets.py", "Python", -291, 0, 0, -38, -71, -400
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\rating_calc.py", "Python", -100, 0, 0, -10, -14, -124
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\account.svg", "XML", 0, -8, 0, 0, -1, -9
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\auto_note.svg", "XML", 0, -130, 0, 0, -1, -131
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\back.svg", "XML", 0, -128, 0, 0, -1, -129
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\delete.svg", "XML", 0, -180, 0, 0, -1, -181
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\exit.svg", "XML", 0, -13, 0, 0, -1, -14
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\help.svg", "XML", 0, -145, 0, 0, -1, -146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\hint.svg", "XML", 0, -90, 0, 0, -1, -91
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\info.svg", "XML", 0, -72, 0, 0, -1, -73
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\notes_off.svg", "XML", 0, -91, 0, 0, -1, -92
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\notes_on.svg", "XML", 0, -63, 0, 0, -1, -64
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\resign.svg", "XML", 0, -65, 0, 0, -1, -66
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\settings.svg", "XML", 0, -11, 0, 0, -1, -12
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\stats.svg", "XML", 0, -20, 0, 0, -1, -21
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\resources\undo.svg", "XML", 0, -110, 0, 0, -1, -111
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\solver.py", "Python", -57, 0, 0, 0, -18, -75
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\sudoku.py", "Python", -23, 0, 0, 0, -8, -31
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\terminal.py", "Python", -280, 0, 0, -7, -27, -314
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\ui.py", "Python", -18, 0, 0, 0, -7, -25
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\account.py", "Python", 105, 0, 0, 2, 30, 137
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\application.py", "Python", 112, 0, 0, 0, 34, 146
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\board.py", "Python", 172, 0, 0, 2, 60, 234
"c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1\board_actions.py", "Python", 56, 0, 0, 0, 28, 84
