Date : 2024-01-15 13:05:50
Directory : c:\Users\nhlo\Documents\GitHub\NEA_Project\Sudoku_v1_0_1
Total : 72 files,  -70 codes, -38 comments, -35 blanks, all -143 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |          6 |         14 |          0 |          0 |         14 |
| XML      |         28 |          0 |          0 |          0 |          0 |
| Python   |         38 |        -84 |        -38 |        -35 |       -157 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         72 |        -70 |        -38 |        -35 |       -143 |
| . (Files)                                                                                          |         19 |      2,864 |        168 |        728 |      3,760 |
| ..                                                                                                 |         36 |     -4,111 |       -206 |       -777 |     -5,094 |
| ..\Stage7e                                                                                         |         36 |     -4,111 |       -206 |       -777 |     -5,094 |
| ..\Stage7e (Files)                                                                                 |         20 |     -2,951 |       -206 |       -763 |     -3,920 |
| ..\Stage7e\games                                                                                   |          2 |        -34 |          0 |          0 |        -34 |
| ..\Stage7e\games\beta                                                                              |          2 |        -34 |          0 |          0 |        -34 |
| ..\Stage7e\resources                                                                               |         14 |     -1,126 |          0 |        -14 |     -1,140 |
| games                                                                                              |          3 |         51 |          0 |          0 |         51 |
| games\admin                                                                                        |          1 |         17 |          0 |          0 |         17 |
| games\beta                                                                                         |          2 |         34 |          0 |          0 |         34 |
| resources                                                                                          |         14 |      1,126 |          0 |         14 |      1,140 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\account.py                                      | Python   |       -101 |         -2 |        -29 |       -132 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\application.py                                  | Python   |       -104 |          0 |        -31 |       -135 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board.py                                        | Python   |       -172 |         -2 |        -60 |       -234 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\board_actions.py                                | Python   |        -56 |          0 |        -28 |        -84 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\data_structures.py                              | Python   |        -30 |          0 |        -10 |        -40 |
| c:\Users\nhlo\Documents\GitHub\NEA_Project\Stage7e\database.py                                     | Python   |       -240 |         -8 |        -46 |       -294 |
